"id";"incept";"src";"description";"contextual";"inside";"window";"more_than_one_sign";"lat";"lng";"island";"city";"neighborhood";"street";"language_typology";"languages";"landmarks";"producer";"type";"transcription";"is_duplicate";"rhizome"
"89";"2016-10-28";"Boots and Kimos sign Kailua.jpg";"Boots and Kimos sign Kailua";"0";"0";"0";"0";"21.391744444444445";"-157.74113333333332";"Oahu";"Kailua";"Kailua ";"Hekili St.";"1";"Eng";;"bus";"cont";"Boots & Kim's homestyle kitchen";"0";"0"
"90";"2017-03-25";"Boots and Kimos.jpg";"Boots and Kimo's ";"1";"0";"0";"0";"21.391919444444444";"-157.74079999999998";"Oahu";"Kailua ";"Kailua";"Hekili St";"1";"Eng";;"bus";"cont";"shop sign boots and kimo's";"0";"0"
"91";"2016-10-28";"Boots Kimos dryer Kailua.jpg";"Boots Kimos dryer Kailua";"0";"1";"0";"0";"0";"0";"Oahu";"Kailua";"Kailua ";"Hekili St.";"1";"Jp";;"bus";"cont";"Boots & Kimo bathroom dryer ";"0";"0"
"92";"2016-10-28";"Boots Kimos toilets.jpg";"Boots Kimos toilets";"0";"1";"0";"0";"0";"0";"Oahu";"Kailua";"Kailua ";"Hekili St.";"2";"Eng, Jp";;"bus";"cont";"use only for toilet seats; do not dispose etc.";"0";"0"
"93";"2016-10-28";"Boots Kimos tshirts signs.jpg";"Boots Kimos tshirts signs";"0";"1";"0";"0";"21.391741666666665";"-157.74121111111108";"Oahu";"Kailua";"Kailua";"Hekili St.";"2";"Eng, Jp";;"bus";"cont";"Boots & Kimos t-shirts sale";"0";"0"
"94";"2017-03-25";"bowling pali lanes.jpg";"bowling pali lanes";"0";"0";"0";"0";"0";"0";"Oahu";"Kailua ";"Kailua";"Hekili St";"1";"Eng";;"bus";"con";"bowling";"0";"0"
"95";"2017-03-27";"brand name 808 skate.jpg";"brand name 808 skate";"0";"0";"0";"0";"21.397044444444443";"-157.7427222222222";"Oahu";"Kailua ";"Kailua";"Uluniu St";"1";"Eng";;"bus";"con";"brand name 808 skate";"0";"0"
"96";"2017-03-25";"brandlog.jpg";"brandlog";"0";"0";"0";"0";"0";"0";"Oahu";"Kailua ";"Kailua";"Kailua Rd";"1";"Eng";;"bus";"decont";;"0";"0"
"97";"2017-03-25";"Brazilian inside shop.jpg";"Brazilian inside shop";"1";"1";"0";"0";"21.393658333333335";"-157.74188333333333";"Oahu";"Kailua";"Kailua";"Kailua Rd";"0";;;;;"Brazilian inside shop";"0";"0"
"98";"2017-03-25";"Brazilian.jpg";"Brazilian";"0";"0";"0";"0";"0";"0";"Oahu";"Kailua";"Kailua";"Kailua Rd";"1";"Eng";;"bus";"con";"shop name brazilian";"0";"0"
"99";"2017-03-25";"building exit only sign.jpg";"building exit only sign";"0";"0";"0";"0";"21.391927777777777";"-157.74186666666665";"Oahu";"Kailua ";"Kailua";"Hekili St";"1";"Eng";;"bus";"cont";"building exit only sign";"0";"0"
"100";"2017-03-25";"buona sera.jpg";"buona sera";"0";"0";"0";"0";"0";"0";"Oahu";"Kailua ";"Kailua";"Hekili St";"1";"Eng";;"bus";"con";"shopname bouna sera";"0";"0"
"101";"2017-03-25";"burber shop.jpg";"burber shop";"0";"0";"0";"0";"0";"0";"Oahu";"Kailua ";"Kailua";"Hahani St";"1";"Eng";;"bus";"con";"shop name";"0";"0"
"102";"2017-03-25";"burbershop window.jpg";"burbershop window";"0";"0";"0";"0";"21.392991666666667";"-157.74055555555555";"Oahu";"Kailua ";"Kailua";"Hahani St";"1";"Eng";;"bus";"con";"burbershop window";"0";"0"
"103";"2017-03-07";"business hours.jpg";"business hours";"0";"0";"0";"0";"0";"0";"Oahu";"Kailua";"Kailua";"Uluniu St";"1";"Eng";;"bus";"con";"business hours";"0";"0"
"104";"2016-10-28";"cafe doors.jpg";"cafe doors";"0";"0";"0";"1";"21.39328888888889";"-157.73982222222222";"Oahu";"Kailua";"Kailua";"Hekili St.";"2";"Jp, Eng";;"bus";"cont";"signs on cafe doors";"0";"0"
"105";"2016-10-28";"cafe windows.jpg";"cafe windows";"0";"0";"0";"1";"0";"0";"Oahu";"Kailua";"Kailua";"Kailua Rd";"1";"Eng";;"bus";"cont";"open, bread pupus, Bud Light";"0";"0"
"106";"2017-03-25";"california pizza kitchen.jpg";"california pizza kitchen";"0";"0";"0";"0";"0";"0";"Oahu";"Kailua";"Kailua";"Kailua Rd";"1";"Eng";;"bus";"con";"california pizza kitchen";"0";"0"
"107";"2017-02-03";"calvin and susie posters door.jpg";"calvin and susie posters door";"0";"0";"0";"0";"0";"0";"Oahu";"Kailua ";"Kailua";"Hekili St";"1";"Eng";;"bus";"con";"calvin and susie posters door";"0";"0"
"108";"2017-03-25";"calvin and susie.jpg";"calvin and susie";"0";"0";"0";"0";"0";"0";"Oahu";"Kailua ";"Kailua";"Hekili St";"1";"Eng";;"bus";"cont";"shop name calvin and susie";"0";"0"
"109";"2017-03-27";"car company brand skickers.jpg";"car company brand skickers";"0";"0";"0";"0";"21.3939";"-157.74558888888888";"Oahu";"Kailua";"Kailua";"Kainehe St";"1";"Eng";;"bus";"con";"car company brand skickers";"0";"0"
"110";"2017-03-27";"car company.jpg";"car company";"1";"0";"0";"0";"21.393952777777777";"-157.74557499999997";"Oahu";"Kailua";"Kailua";"Kainehe St";"0";;;;;"car company";"0";"0"
